,gameid,teamname,gamelength,result,game,patch,playoffs,ckpm,side,ban1,ban2,ban3,ban4,ban5,teamkills,teamdeaths,firstblood,team kpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
6274,ESPORTSTMNT01_2695708,LOUD,2320,1,1,12.01,0,0.931,Blue,Gwen,Diana,Jinx,Vex,Tryndamere,19,17,0.0,0.4914,0.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,1.0,1.0,6.0,3.0,1.0,0.0,97484.0,2521.1379,2699.431,2753.9224,167.0,4.319,64.0,1.6552,75.0,357.0,9.2328,71210,46170.0,1194.0517,62900.0,0.032967,,946.0,257.0,,,31.1121,16289.0,18712.0,342.0,15641.0,17452.0,310.0,648.0,1260.0,32.0,2.0,2.0,3.0,3.0,5.0,2.0,25947.0,29905.0,522.0,24288.0,29356.0,511.0,1659.0,549.0,11.0,4.0,4.0,4.0,4.0,6.0,4.0
6275,ESPORTSTMNT01_2695708,FURIA,2320,0,1,12.01,0,0.931,Red,Lee Sin,Thresh,Twisted Fate,Kai'Sa,Caitlyn,17,19,1.0,0.4397,1.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,9.0,0.0,0.0,3.0,6.0,0.0,1.0,73545.0,1902.0259,3437.8448,2553.1552,138.0,3.569,69.0,1.7845,57.0,330.0,8.5345,64612,39572.0,1023.4138,60860.0,-0.032967,,883.0,242.0,,,29.0948,15641.0,17452.0,310.0,16289.0,18712.0,342.0,-648.0,-1260.0,-32.0,3.0,5.0,2.0,2.0,2.0,3.0,24288.0,29356.0,511.0,25947.0,29905.0,522.0,-1659.0,-549.0,-11.0,4.0,6.0,4.0,4.0,4.0,4.0
6310,ESPORTSTMNT01_2695774,Netshoes Miners,2152,1,1,12.01,0,0.7807,Blue,Jinx,Twisted Fate,Caitlyn,Viktor,Syndra,21,7,0.0,0.5855,1.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,77102.0,2149.684,2806.6171,2277.7695,136.0,3.7918,51.0,1.4219,57.0,287.0,8.0019,72544,49215.0,1372.1654,67825.0,0.157798,,1003.0,266.0,,,35.381,15057.0,18713.0,341.0,16449.0,19211.0,380.0,-1392.0,-498.0,-39.0,0.0,0.0,1.0,1.0,1.0,0.0,24237.0,30459.0,526.0,24766.0,30058.0,589.0,-529.0,401.0,-63.0,3.0,11.0,2.0,2.0,4.0,3.0
6311,ESPORTSTMNT01_2695774,Flamengo Esports,2152,0,1,12.01,0,0.7807,Red,Nidalee,Corki,Diana,Lee Sin,Jayce,7,21,1.0,0.1952,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,3.0,2.0,0.0,2.0,53023.0,1478.3364,2856.3011,2499.4238,117.0,3.2621,63.0,1.7565,51.0,288.0,8.0297,59163,35834.0,999.0892,57905.0,-0.157798,,1064.0,207.0,,,35.4368,16449.0,19211.0,380.0,15057.0,18713.0,341.0,1392.0,498.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,24766.0,30058.0,589.0,24237.0,30459.0,526.0,529.0,-401.0,63.0,2.0,4.0,3.0,3.0,11.0,2.0
6334,ESPORTSTMNT01_2695807,KaBuM! e-Sports,1587,1,1,12.01,0,0.8318,Blue,Ziggs,Renekton,Twisted Fate,Jhin,Ezreal,15,8,0.0,0.5671,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,65965.0,2493.9509,2833.8752,2803.327,84.0,3.1758,35.0,1.3233,37.0,169.0,6.3894,51114,33545.0,1268.242,43250.0,0.133827,,729.0,176.0,,,34.2155,15328.0,18545.0,322.0,16012.0,18632.0,314.0,-684.0,-87.0,8.0,2.0,3.0,3.0,3.0,6.0,2.0,24028.0,29997.0,531.0,23282.0,28656.0,494.0,746.0,1341.0,37.0,2.0,3.0,3.0,3.0,6.0,2.0
6335,ESPORTSTMNT01_2695807,INTZ,1587,0,1,12.01,0,0.8318,Red,Corki,Jayce,Akali,Kennen,Jax,7,15,1.0,0.2647,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,46843.0,1771.0019,3258.7902,2061.9282,81.0,3.0624,35.0,1.3233,37.0,190.0,7.1834,40224,22655.0,856.5217,37825.0,-0.133827,,661.0,144.0,,,30.4348,16012.0,18632.0,314.0,15328.0,18545.0,322.0,684.0,87.0,-8.0,3.0,6.0,2.0,2.0,3.0,3.0,23282.0,28656.0,494.0,24028.0,29997.0,531.0,-746.0,-1341.0,-37.0,3.0,6.0,2.0,2.0,3.0,3.0
6358,ESPORTSTMNT01_2695835,Rensga eSports,2336,0,1,12.01,0,0.7962,Blue,Lee Sin,Leona,Twisted Fate,Nautilus,Rakan,14,17,0.0,0.3596,0.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0,2.0,8.0,1.0,1.0,100827.0,2589.7346,2808.75,2805.7705,130.0,3.339,69.0,1.7723,62.0,329.0,8.4503,71641,46440.0,1192.8082,64350.0,-0.0362388,,969.0,234.0,,,30.899,14505.0,16690.0,284.0,17115.0,18397.0,321.0,-2610.0,-1707.0,-37.0,1.0,2.0,5.0,5.0,16.0,1.0,23079.0,28883.0,487.0,25992.0,28800.0,510.0,-2913.0,83.0,-23.0,2.0,4.0,5.0,5.0,16.0,2.0
6359,ESPORTSTMNT01_2695835,RED Canids,2336,1,1,12.01,0,0.7962,Red,Thresh,Caitlyn,Jinx,Braum,Karma,17,14,1.0,0.4366,1.0,4.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,8.0,2.0,1.0,1.0,76641.0,1968.5188,3702.5342,2786.661,138.0,3.5445,51.0,1.3099,72.0,321.0,8.2449,71408,46207.0,1186.8236,66725.0,0.0362388,,977.0,287.0,,,32.4658,17115.0,18397.0,321.0,14505.0,16690.0,284.0,2610.0,1707.0,37.0,5.0,16.0,1.0,1.0,2.0,5.0,25992.0,28800.0,510.0,23079.0,28883.0,487.0,2913.0,-83.0,23.0,5.0,16.0,2.0,2.0,4.0,5.0
6610,ESPORTSTMNT01_2696159,Liberty,1655,1,1,12.01,0,0.6888,Blue,Twisted Fate,Leona,Vex,LeBlanc,Akali,16,3,1.0,0.5801,0.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,12.0,3.0,3.0,0.0,48273.0,1750.0785,2080.568,1862.9003,90.0,3.2628,42.0,1.5227,32.0,210.0,7.6133,54937,36680.0,1329.7885,48350.0,0.130895,,718.0,200.0,,,33.281,18959.0,19983.0,314.0,14903.0,18382.0,318.0,4056.0,1601.0,-4.0,6.0,9.0,1.0,1.0,1.0,6.0,29765.0,30371.0,512.0,22488.0,28671.0,503.0,7277.0,1700.0,9.0,7.0,11.0,1.0,1.0,1.0,7.0
6611,ESPORTSTMNT01_2696159,Rensga eSports,1655,0,1,12.01,0,0.6888,Red,Gwen,Corki,Thresh,Camille,Renekton,3,16,0.0,0.1088,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,3.0,12.0,0.0,3.0,37477.0,1358.6828,2461.3414,1476.5076,70.0,2.5378,35.0,1.2689,34.0,167.0,6.0544,43579,25322.0,918.0181,42410.0,-0.130895,,792.0,144.0,,,33.9335,14903.0,18382.0,318.0,18959.0,19983.0,314.0,-4056.0,-1601.0,4.0,1.0,1.0,6.0,6.0,9.0,1.0,22488.0,28671.0,503.0,29765.0,30371.0,512.0,-7277.0,-1700.0,-9.0,1.0,1.0,7.0,7.0,11.0,1.0
